"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-01","2019","01","01","","5.7","","-12.2","","-3.3","","21.3","","0.0","","","","","","0.2","","3","","29","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-02","2019","01","02","","10.3","","4.9","","7.6","","10.4","","0.0","","","","","","0.0","","2","","27","","70",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-03","2019","01","03","","9.7","","-2.4","","3.7","","14.3","","0.0","","","","","","0.5","","0","","27","","62",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-04","2019","01","04","","8.8","","-6.5","","1.2","","16.8","","0.0","","","","","","0.0","","0","","23","","66",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-05","2019","01","05","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-06","2019","01","06","","5.1","","-7.2","","-1.0","","19.0","","0.0","","","","","","0.0","","","","27","","53",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-07","2019","01","07","","-6.0","","-13.3","","-9.6","","27.6","","0.0","","","","","","0.7","","","","32","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-08","2019","01","08","","-6.4","","-15.0","","-10.7","","28.7","","0.0","","","","","","0.2","","","","15","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-09","2019","01","09","","-4.9","","-11.7","","-8.3","","26.3","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-10","2019","01","10","","9.9","","-11.9","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-11","2019","01","11","","7.4","","-10.3","","-1.4","","19.4","","0.0","","","","","","0.0","","","","25","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-12","2019","01","12","","9.4","","-4.4","","2.5","","15.5","","0.0","","","","","","0.5","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-13","2019","01","13","","10.1","","-6.2","","1.9","","16.1","","0.0","","","","","","0.3","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-14","2019","01","14","","9.7","","-8.3","","0.7","","17.3","","0.0","","","","","","0.6","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-15","2019","01","15","","-2.8","","-10.3","","-6.6","","24.6","","0.0","","","","","","0.2","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-16","2019","01","16","","-5.7","","-8.2","","-6.9","","24.9","","0.0","","","","","","1.5","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-17","2019","01","17","","-8.2","","-16.8","","-12.5","","30.5","","0.0","","","","","","1.7","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-18","2019","01","18","","-13.9","","-18.0","","-15.9","","33.9","","0.0","","","","","","0.9","","6","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-19","2019","01","19","","2.0","","-18.6","","-8.3","","26.3","","0.0","","","","","","0.2","","6","","26","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-20","2019","01","20","","3.2","","-10.8","","-3.8","","21.8","","0.0","","","","","","0.0","","5","","29","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-21","2019","01","21","","0.1","","-10.8","","-5.4","","23.4","","0.0","","","","","","0.0","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-22","2019","01","22","","3.3","","-11.6","","-4.1","","22.1","","0.0","","","","","","0.0","","5","","27","","50",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-23","2019","01","23","","1.0","","-17.1","","-8.0","","26.0","","0.0","","","","","","0.0","","5","","36","","52",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-24","2019","01","24","","0.7","","-19.2","","-9.2","","27.2","","0.0","","","","","","1.1","","3","","35","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-25","2019","01","25","","2.9","","-7.4","","-2.2","","20.2","","0.0","","","","","","0.5","","4","","36","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-26","2019","01","26","","11.9","","-6.8","","2.5","","15.5","","0.0","","","","","","0.2","","4","","27","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-27","2019","01","27","","10.1","","-5.7","","2.2","","15.8","","0.0","","","","","","0.0","","1","","34","","78",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-28","2019","01","28","","-1.6","","-10.9","","-6.2","","24.2","","0.0","","","","","","0.3","","1","","32","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-29","2019","01","29","","-1.3","","-15.0","","-8.2","","26.2","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-30","2019","01","30","","6.8","","-11.1","","-2.1","","20.1","","0.0","","","","","","0.2","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-01-31","2019","01","31","","8.8","","-6.0","","1.4","","16.6","","0.0","","","","","","0.7","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-01","2019","02","01","","-2.9","","-16.9","","-9.9","","27.9","","0.0","","","","","","0.0","","0","","4","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-02","2019","02","02","","-16.7","","-22.4","","-19.5","","37.5","","0.0","","","","","","0.7","","2","","36","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-03","2019","02","03","","-22.2","","-27.9","","-25.1","","43.1","","0.0","","","","","","0.2","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-04","2019","02","04","","-25.0","","-27.8","","-26.4","","44.4","","0.0","","","","","","0.0","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-05","2019","02","05","","-21.4","","-29.3","","-25.4","","43.4","","0.0","","","","","","0.3","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-06","2019","02","06","","-15.6","","-26.9","","-21.2","","39.2","","0.0","","","","","","0.2","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-07","2019","02","07","","-11.6","","-26.0","","-18.8","","36.8","","0.0","","","","","","0.8","","2","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-08","2019","02","08","","-13.2","","-24.0","","-18.6","","36.6","","0.0","","","","","","1.7","","2","","2","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-09","2019","02","09","","-24.0","","-28.4","","-26.2","","44.2","","0.0","","","","","","0.2","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-10","2019","02","10","","-24.1","","-30.0","","-27.0","","45.0","","0.0","","","","","","1.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-11","2019","02","11","","-21.3","","-28.2","","-24.7","","42.7","","0.0","","","","","","0.9","","6","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-12","2019","02","12","","-17.0","","-30.3","","-23.6","","41.6","","0.0","","","","","","1.2","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-13","2019","02","13","","-17.1","","-24.4","","-20.7","","38.7","","0.0","","","","","","1.0","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-14","2019","02","14","","-10.7","","-24.8","","-17.8","","35.8","","0.0","","","","","","0.0","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-15","2019","02","15","","-17.0","","-23.2","","-20.1","","38.1","","0.0","","","","","","1.7","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-16","2019","02","16","","-15.2","","-18.2","","-16.7","","34.7","","0.0","","","","","","1.8","","13","","35","","50",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-17","2019","02","17","","-16.5","","-19.6","","-18.1","","36.1","","0.0","","","","","","0.2","","3","","35","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-18","2019","02","18","","-15.5","","-24.3","","-19.9","","37.9","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-19","2019","02","19","","-1.3","","-22.7","","-12.0","","30.0","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-20","2019","02","20","","-4.6","","-13.4","","-9.0","","27.0","","0.0","","","","","","0.4","","4","","35","","56",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-21","2019","02","21","","-10.0","","-19.2","","-14.6","","32.6","","0.0","","","","","","0.0","","3","","1","","52",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-22","2019","02","22","","-0.4","","-15.8","","-8.1","","26.1","","0.0","","","","","","0.0","","3","","27","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-23","2019","02","23","","-5.0","","-19.9","","-12.4","","30.4","","0.0","","","","","","1.3","","3","","35","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-24","2019","02","24","","-17.5","","-24.1","","-20.8","","38.8","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-25","2019","02","25","","-18.3","","-31.2","","-24.7","","42.7","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-26","2019","02","26","","-11.1","","-25.9","","-18.5","","36.5","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-27","2019","02","27","","-3.3","","-23.0","","-13.1","","31.1","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-02-28","2019","02","28","","-4.5","","-15.1","","-9.8","","27.8","","0.0","","","","","","0.0","","3","","2","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-01","2019","03","01","","-8.7","","-27.9","","-18.3","","36.3","","0.0","","","","","","0.4","","3","","2","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-02","2019","03","02","","-20.6","","-32.4","","-26.5","","44.5","","0.0","","","","","","0.2","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-03","2019","03","03","","-14.3","","-29.1","","-21.7","","39.7","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-04","2019","03","04","","-7.8","","-26.1","","-17.0","","35.0","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-05","2019","03","05","","-7.4","","-21.2","","-14.3","","32.3","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-06","2019","03","06","","-12.4","","-24.7","","-18.6","","36.6","","0.0","","","","","","0.0","","3","","17","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-07","2019","03","07","","-9.2","","-17.3","","-13.2","","31.2","","0.0","","","","","","1.6","","3","","16","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-08","2019","03","08","","-4.9","","-13.9","","-9.4","","27.4","","0.0","","","","","","0.6","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-09","2019","03","09","","-3.8","","-15.0","","-9.4","","27.4","","0.0","","","","","","0.0","","4","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-10","2019","03","10","","1.8","","-16.2","","-7.2","","25.2","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-11","2019","03","11","","9.7","","-4.0","","2.8","","15.2","","0.0","","","","","","0.0","","6","","26","","60",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-12","2019","03","12","","4.6","","-2.4","","1.1","","16.9","","0.0","","","","","","1.2","","3","","28","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-13","2019","03","13","","0.9","","-6.5","","-2.8","","20.8","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-14","2019","03","14","","1.8","","-10.6","","-4.4","","22.4","","0.0","","","","","","0.0","","2","","29","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-15","2019","03","15","","3.2","","-3.8","","-0.3","","18.3","","0.0","","","","","","0.0","","2","","29","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-16","2019","03","16","","4.4","","-9.5","","-2.5","","20.5","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-17","2019","03","17","","10.5","","-7.0","","1.7","","16.3","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-18","2019","03","18","","10.9","","-2.3","","4.3","","13.7","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-19","2019","03","19","","","M","","M","","M","","M","","M","","","","","","M","1","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-20","2019","03","20","","16.5","","-2.5","","7.0","","11.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-21","2019","03","21","","13.0","","-2.6","","5.2","","12.8","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-22","2019","03","22","","15.0","","-3.7","","5.7","","12.3","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-23","2019","03","23","","10.6","","-3.4","","3.6","","14.4","","0.0","","","","","","0.0","","","","36","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-24","2019","03","24","","1.5","","-1.0","","0.3","","17.7","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-25","2019","03","25","","9.7","","-1.9","","3.9","","14.1","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-26","2019","03","26","","13.4","","-0.8","","6.3","","11.7","","0.0","","","","","","0.0","","1","","33","","61",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-27","2019","03","27","","5.5","","-2.8","","1.4","","16.6","","0.0","","","","","","1.9","","4","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-28","2019","03","28","","7.9","","-3.9","","2.0","","16.0","","0.0","","","","","","0.0","","1","","17","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-29","2019","03","29","","9.8","","-4.2","","2.8","","15.2","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-30","2019","03","30","","12.8","","-2.9","","5.0","","13.0","","0.0","","","","","","0.0","","0","","1","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-31","2019","03","31","","9.9","","0.3","","5.1","","12.9","","0.0","","","","","","0.0","","1","","13","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-01","2019","04","01","","8.7","","-0.5","","4.1","","13.9","","0.0","","","","","","0.0","","1","","33","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-02","2019","04","02","","9.7","","-4.9","","2.4","","15.6","","0.0","","","","","","0.0","","0","","13","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-03","2019","04","03","","12.6","","-4.6","","4.0","","14.0","","0.0","","","","","","0.0","","0","","11","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-04","2019","04","04","","12.1","","1.0","","6.6","","11.4","","0.0","","","","","","0.0","","0","","4","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-05","2019","04","05","","10.3","","-2.1","","4.1","","13.9","","0.0","","","","","","0.0","","1","","15","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-06","2019","04","06","","13.3","","-0.6","","6.4","","11.6","","0.0","","","","","","0.0","","0","","27","","68",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-07","2019","04","07","","13.1","","-0.5","","6.3","","11.7","","0.0","","","","","","0.0","","0","","29","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-08","2019","04","08","","13.0","","-2.7","","5.1","","12.9","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-09","2019","04","09","","13.2","","-5.2","","4.0","","14.0","","0.0","","","","","","0.0","","0","","17","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-10","2019","04","10","","12.1","","1.4","","6.8","","11.2","","0.0","","","","","","0.0","","0","","16","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-11","2019","04","11","","5.4","","0.3","","2.9","","15.1","","0.0","","","","","","5.9","","0","","35","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-12","2019","04","12","","7.9","","-1.5","","3.2","","14.8","","0.0","","","","","","0.3","","2","","36","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-13","2019","04","13","","11.6","","-3.4","","4.1","","13.9","","0.0","","","","","","0.0","","0","","19","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-14","2019","04","14","","9.7","","-1.1","","4.3","","13.7","","0.0","","","","","","0.0","","0","","33","","50",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-15","2019","04","15","","9.7","","-4.8","","2.5","","15.5","","0.0","","","","","","0.0","","0","","20","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-16","2019","04","16","","12.3","","-6.9","","2.7","","15.3","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-17","2019","04","17","","15.1","","0.4","","7.7","","10.3","","0.0","","","","","","0.0","","","","28","","55",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-18","2019","04","18","","20.4","","-0.4","","10.0","","8.0","","0.0","","","","","","0.0","","","","30","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-19","2019","04","19","","11.0","","2.3","","6.6","","11.4","","0.0","","","","","","0.0","","","","1","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-20","2019","04","20","","10.2","","-0.2","","5.0","","13.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-21","2019","04","21","","16.5","","-1.0","","7.7","","10.3","","0.0","","","","","","0.0","","","","16","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-22","2019","04","22","","20.1","","-2.3","","8.9","","9.1","","0.0","","","","","","0.0","","","","26","","61",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-23","2019","04","23","","18.1","","1.9","","10.0","","8.0","","0.0","","","","","","0.0","","","","29","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-24","2019","04","24","","14.5","","-0.3","","7.1","","10.9","","0.0","","","","","","0.0","","","","2","","57",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-25","2019","04","25","","12.6","","-3.5","","4.5","","13.5","","0.0","","","","","","0.0","","","","20","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-26","2019","04","26","","9.7","","-0.6","","4.5","","13.5","","0.0","","","","","","0.2","","","","6","","37",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-27","2019","04","27","","4.8","","-2.6","","1.1","","16.9","","0.0","","","","","","5.9","","","","1","","80",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-28","2019","04","28","","2.6","","-5.1","","-1.3","","19.3","","0.0","","","","","","1.4","","3","","35","","45",""
